Item,Quantity,Name,Material
1,1,aero_face,PETG
2,2,face_belt_grabber,PETG
3,1,TITAN-SINK-175-RH,- None -
4,1,V6-175-BREAK,- None -
5,1,V6-NOZZLE-ALL,- None -
6,1,V6-BLOCK-CARTRIDGE,- None -
7,1,SOCK,- None -
8,1,SSX_tensioner_thing_2426505,PETG
9,13,DIN 912 M3 10 mm,Hardened Alloy Steel
10,23,"M3  Hex nut ",Hardened Alloy Steel
11,1,aero_support,PETG
12,4,DIN 912 M3 16 mm,Hardened Alloy Steel
13,1,aero_front_probe,PETG
14,1,back_corexy,PETG
15,2,tension_slider_9mm_belt_M5,PETG
16,1,DIN 912 M3 25 mm,Hardened Alloy Steel
17,2,DIN 912 M5 45 mm,Hardened Alloy Steel
18,2,M5  Hex nut Nyloc,Hardened Alloy Steel
19,1,5015 fan,- None -
20,1,top_mgn12,PETG
21,4,DIN 912 M3 35 mm,Hardened Alloy Steel
22,1,cable_holder,PETG
23,1,unversal_cable_mount,PETG
24,1,bottom_mgn12_aero,PETG
25,1,Duct v2.1 Straight,PETG
